Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame
1,0,1,43,48607,1.1022,2.1712,58.452,61.038,1526
2,0,2,30,69882,1.584626,2.653626,58.93445,61.52045,1538
3,0,3,40,105937,2.4022,3.4712,59.75205,62.33805,1558
4,0,4,10,134723,3.054943,4.123943,60.4048,62.9908,1575
5,0,5,44,157936,3.581315,4.650315,60.93115,63.51715,1588
6,0,6,39,180180,4.085714,5.154714,61.43555,64.02155,1601
7,0,7,39,218901,4.963741,6.032741,62.3136,64.8996,1622
8,0,8,9,246233,5.583515,6.652515,62.93335,65.51935,1638
9,0,9,22,264115,5.989002,7.058002,63.33885,65.92485,1648
10,0,10,21,288540,6.542857,7.611857,63.8927,66.4787,1662
11,0,11,7,318780,7.228571,8.297571,64.5784,67.1644,1679
12,0,12,8,343932,7.798912,8.867912,65.14875,67.73475,1693
13,0,13,10,370779,8.407687,9.476687,65.75755,68.34355,1709
14,0,14,10,403442,9.148345,10.217345,66.4982,69.0842,1727
15,0,15,39,431986,9.795601,10.864601,67.14545,69.73145,1743
16,0,16,21,469011,10.63517,11.70417,67.985,70.571,1764
17,0,17,39,487378,11.051655,12.120655,68.4015,70.9875,1775
18,0,18,9,506472,11.484626,12.553626,68.8345,71.4205,1786
19,0,19,10,525323,11.912086,12.981086,69.26195,71.84795,1796
20,0,20,7,559198,12.680227,13.749227,70.0301,72.6161,1815
21,0,21,8,593799,13.46483,14.53383,70.8147,73.4007,1835
22,0,22,7,620405,14.068141,15.137141,71.418,74.004,1850
23,0,23,30,650402,14.748345,15.817345,72.0982,74.6842,1867
24,0,24,29,680885,15.439569,16.508569,72.78945,75.37545,1884
25,0,25,22,704340,15.971429,17.040429,73.3213,75.9073,1898
26,0,26,43,734095,16.646145,17.715145,73.996,76.582,1915
27,0,27,39,766032,17.37034,18.43934,74.7202,77.3062,1933
28,0,28,9,804995,18.253855,19.322855,75.6037,78.1897,1955
29,0,29,39,837900,19,20.069,76.3499,78.9359,1973
30,0,30,44,866202,19.641769,20.710769,76.99165,79.57765,1989
31,0,31,43,899834,20.404399,21.473399,77.7543,80.3403,2009
32,0,32,29,937343,21.254943,22.323943,78.6048,81.1908,2030
33,0,33,8,957891,21.720884,22.789884,79.07075,81.65675,2041
34,0,34,43,978196,22.181315,23.250315,79.5312,82.1172,2053
35,0,35,40,1008921,22.878027,23.947027,80.2279,82.8139,2070
36,0,36,21,1044734,23.690113,24.759113,81.04,83.626,2091
37,0,37,29,1070855,24.282426,25.351426,81.6323,84.2183,2105
38,0,38,29,1088495,24.682426,25.751426,82.0323,84.6183,2115
39,0,39,40,1124792,25.505488,26.574488,82.8554,85.4414,2136
40,0,40,7,1146794,26.004399,27.073399,83.3543,85.9403,2149
41,0,41,9,1168311,26.492313,27.561313,83.8422,86.4282,2161
42,0,42,8,1202428,27.265941,28.334941,84.61585,87.20185,2180
