Global_Idx,Block,Local_Idx,x,y,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time
1,0,1,62.5,82.5,5,57815,1.310998,2.370998,34.424
2,0,2,177.5,197.5,29,88297,2.0022,3.0622,35.2081
3,0,3,222.5,172.5,25,113933,2.583515,3.643515,35.7894
4,0,4,62.5,127.5,6,138600,3.142857,4.202857,36.44165
5,0,5,87.5,37.5,45,159148,3.608798,4.668798,37.09335
6,0,6,87.5,172.5,27,182845,4.146145,5.206145,37.72355
7,0,7,247.5,82.5,11,218174,4.947256,6.007256,38.61755
8,0,8,247.5,127.5,12,236056,5.352744,6.412744,39.11595
9,0,9,247.5,82.5,11,264115,5.989002,7.049002,39.7522
10,0,10,177.5,12.5,43,290236,6.581315,7.641315,40.3445
11,0,11,132.5,12.5,44,308845,7.003288,8.063288,40.7665
12,0,12,87.5,37.5,45,347808,7.886803,8.946803,41.7429
13,0,13,222.5,172.5,25,374172,8.484626,9.544626,42.3407
14,0,14,87.5,172.5,27,406835,9.225283,10.285283,43.17425
15,0,15,247.5,127.5,12,426655,9.674717,10.734717,43.71655
16,0,16,247.5,127.5,12,458834,10.404399,11.464399,44.632
17,0,17,87.5,172.5,27,480108,10.886803,11.946803,45.1144
18,0,18,247.5,82.5,11,504533,11.440658,12.500658,45.76115
19,0,19,177.5,12.5,43,543738,12.32966,13.38966,46.8359
20,0,20,222.5,172.5,25,563802,12.784626,13.844626,47.2909
21,0,21,222.5,172.5,25,584107,13.245057,14.305057,47.8442
22,0,22,222.5,172.5,25,617255,13.996712,15.056712,48.59585
23,0,23,222.5,37.5,47,652341,14.792313,15.852313,49.4843
24,0,24,62.5,127.5,6,675796,15.324172,16.384172,50.0162
25,0,25,222.5,37.5,47,705552,15.998912,17.058912,50.7838
26,0,26,62.5,82.5,5,739668,16.772517,17.832517,51.7432
27,0,27,132.5,12.5,44,770393,17.469229,18.529229,52.4399
28,0,28,62.5,127.5,6,789487,17.9022,18.9622,53.0586
29,0,29,247.5,82.5,11,820454,18.604399,19.664399,53.8537
30,0,30,62.5,82.5,5,849240,19.257143,20.317143,54.50645
31,0,31,62.5,82.5,5,870999,19.750544,20.810544,55.09275
32,0,32,132.5,197.5,30,900028,20.408798,21.468798,55.751
33,0,33,177.5,197.5,29,937537,21.259342,22.319342,56.6944
34,0,34,62.5,82.5,5,968746,21.967029,23.027029,57.58785
35,0,35,132.5,12.5,44,1007467,22.845057,23.905057,58.4659
36,0,36,132.5,12.5,44,1036738,23.508798,24.568798,59.12965
37,0,37,222.5,172.5,25,1075216,24.381315,25.441315,60.00215
38,0,38,222.5,37.5,47,1094552,24.819773,25.879773,60.4406
39,0,39,87.5,172.5,27,1132304,25.675828,26.735828,61.48245
40,0,40,132.5,12.5,44,1154548,26.180227,27.240227,61.98685
41,0,41,132.5,197.5,30,1188180,26.942857,28.002857,62.93525
42,0,42,177.5,197.5,29,1209697,27.430771,28.490771,63.42315
43,0,43,247.5,127.5,12,1246237,28.259342,29.319342,64.2517
44,0,44,132.5,197.5,30,1277931,28.978027,30.038027,64.9704
45,0,45,87.5,37.5,45,1300417,29.487914,30.547914,65.4803
46,0,46,177.5,12.5,43,1333807,30.245057,31.305057,66.23745
47,0,47,87.5,37.5,45,1366712,30.991202,32.051202,66.9836
48,0,48,87.5,37.5,45,1401314,31.775828,32.835828,67.8611
49,0,49,87.5,37.5,45,1425496,32.324172,33.384172,68.40945
50,0,50,87.5,172.5,27,1463732,33.191202,34.251202,69.36935
51,0,51,177.5,197.5,29,1486703,33.712086,34.772086,69.89025
52,0,52,177.5,12.5,43,1526393,34.612086,35.672086,70.79025
53,0,53,132.5,12.5,44,1547425,35.089002,36.149002,71.36005
54,0,54,132.5,197.5,30,1575242,35.719773,36.779773,71.9908
55,0,55,177.5,12.5,43,1607663,36.454943,37.514943,72.91175
56,0,56,247.5,127.5,12,1632572,37.019773,38.079773,73.4766
57,0,57,222.5,172.5,25,1650697,37.430771,38.490771,74.07335
58,0,58,247.5,82.5,11,1679241,38.078027,39.138027,74.8135
59,0,59,132.5,197.5,30,1700031,38.549456,39.609456,75.3778
60,0,60,62.5,127.5,6,1729544,39.218685,40.278685,76.047
61,0,61,62.5,127.5,6,1763903,39.9978,41.0578,77.0119
62,0,62,222.5,37.5,47,1799716,40.809887,41.869887,77.824
63,0,63,222.5,37.5,47,1822929,41.336259,42.396259,78.44325
64,0,64,132.5,12.5,44,1856804,42.104399,43.164399,79.2114
65,0,65,87.5,172.5,27,1879532,42.619773,43.679773,79.72675
66,0,66,177.5,197.5,29,1906138,43.223084,44.283084,80.33005
67,0,67,247.5,82.5,11,1924505,43.639569,44.699569,80.83945
68,0,68,222.5,37.5,47,1960075,44.446145,45.506145,81.8318
69,0,69,222.5,37.5,47,1987408,45.065941,46.125941,82.4516
70,0,70,62.5,127.5,6,2023705,45.889002,46.949002,83.27465
71,0,71,62.5,127.5,6,2048857,46.459342,47.519342,83.845
72,0,72,87.5,37.5,45,2075947,47.073628,48.133628,84.55215
73,0,73,62.5,82.5,5,2110791,47.863741,48.923741,85.34225
74,0,74,247.5,127.5,12,2148785,48.725283,49.785283,86.2038
75,0,75,177.5,12.5,43,2168363,49.169229,50.229229,86.74065
76,0,76,247.5,127.5,12,2204418,49.986803,51.046803,87.6511
77,0,77,62.5,82.5,5,2226420,50.485714,51.545714,88.2429
78,0,78,177.5,197.5,29,2250360,51.028571,52.088571,88.8786
79,0,79,177.5,197.5,29,2269212,51.456054,52.516054,89.3061
80,0,80,177.5,12.5,43,2286852,51.856054,52.916054,89.7061
81,0,81,132.5,197.5,30,2315153,52.4978,53.5578,90.34785
82,0,82,132.5,197.5,30,2346605,53.210998,54.270998,91.15395
83,0,83,87.5,172.5,27,2383872,54.056054,55.116054,91.999
84,1,1,177.5,12.5,43,63145,1.431859,68.870859,101.1399
85,1,2,87.5,172.5,27,89508,2.02966,69.46866,101.8306
86,1,3,62.5,82.5,5,123383,2.7978,70.2368,102.5987
87,1,4,177.5,197.5,29,141508,3.208798,70.647798,103.0097
88,1,5,87.5,172.5,27,161086,3.652744,71.091744,103.54655
89,1,6,222.5,37.5,47,195445,4.431859,71.870859,104.3257
90,1,7,132.5,12.5,44,227139,5.150544,72.589544,105.13725
91,1,8,247.5,82.5,11,259318,5.880227,73.319227,105.9598
92,1,9,177.5,12.5,43,289558,6.565941,74.004941,106.7384
93,1,10,177.5,12.5,43,324644,7.361542,74.800542,107.534
94,1,11,247.5,127.5,12,345434,7.832971,75.271971,108.00545
95,1,12,222.5,172.5,25,384397,8.716485,76.155485,108.98185
96,1,13,62.5,127.5,6,410275,9.303288,76.742288,109.56865
97,1,14,177.5,197.5,29,437123,9.912086,77.351086,110.2703
98,1,15,222.5,172.5,25,472936,10.724172,78.163172,111.1753
99,1,16,247.5,127.5,12,491788,11.151655,78.590655,111.69565
100,1,17,87.5,37.5,45,527116,11.952744,79.391744,112.5896
101,1,18,62.5,127.5,6,550329,12.479116,79.918116,113.116
102,1,19,222.5,37.5,47,569665,12.917574,80.356574,113.55445
103,1,20,87.5,172.5,27,593121,13.449456,80.888456,114.08635
104,1,21,62.5,82.5,5,621665,14.096712,81.535712,114.8265
105,1,22,87.5,37.5,45,659416,14.952744,82.391744,115.6825
106,1,23,62.5,127.5,6,684083,15.512086,82.951086,116.24185
107,1,24,177.5,12.5,43,707781,16.049456,83.488456,116.7792
108,1,25,132.5,12.5,44,725663,16.454943,83.893943,117.1847
109,1,26,87.5,37.5,45,758568,17.201088,84.640088,118.02375
110,1,27,87.5,172.5,27,778632,17.656054,85.095054,118.4787
111,1,28,247.5,82.5,11,811779,18.407687,85.846687,119.3232
112,1,29,222.5,37.5,47,835719,18.950544,86.389544,119.8661
113,1,30,132.5,197.5,30,871290,19.757143,87.196143,120.6727
114,1,31,132.5,197.5,30,899349,20.393401,87.832401,121.30895
