Chan,MeanRate
A17,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.5625
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.    ]"
A02,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A15,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A21,"[1.5625 1.5625 0.     1.5625 0.     1.5625 1.5625 0.     1.5625 1.5625
 0.     0.     0.     1.5625 0.     0.     0.     0.     0.     1.5625
 1.5625 0.     0.     1.5625 0.     0.     1.5625 0.     0.     0.
 0.     0.     0.     0.     1.5625 0.     0.     0.     1.5625 1.5625
 0.     0.     0.     0.     1.5625 0.     0.     0.     0.     0.    ]"
A24,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A27,"[0.     0.     0.     0.     4.6875 0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 1.5625 0.     0.     0.     0.     0.     0.     1.5625 0.     0.
 1.5625 0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     1.5625 0.     0.     0.     0.     0.     0.    ]"
A25,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     1.5625 0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.    ]"
A03,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     6.25   1.5625
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.    ]"
A11,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A23,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A29,"[0.     0.     0.     0.     0.     1.5625 0.     0.     0.     0.
 0.     0.     1.5625 0.     0.     0.     0.     1.5625 0.     0.
 0.     0.     3.125  0.     0.     0.     1.5625 0.     7.8125 0.
 1.5625 0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     3.125  0.     0.     0.     0.     0.     0.     0.     0.    ]"
A22,"[21.875   9.375  14.0625  6.25    9.375  20.3125 17.1875 29.6875 14.0625
 20.3125  7.8125 10.9375  9.375  10.9375 10.9375 12.5    18.75   23.4375
 12.5     4.6875 12.5    10.9375 23.4375  9.375   9.375  15.625  15.625
 14.0625 10.9375 17.1875 15.625  14.0625 15.625  14.0625 20.3125 14.0625
 20.3125 18.75   15.625  12.5    18.75    9.375   4.6875 15.625  20.3125
 10.9375 14.0625 17.1875 17.1875 10.9375]"
