Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame
1,0,1,10,59026,1.338458,2.635458,41.5368,37.7668,944
2,0,2,43,87570,1.985714,3.282714,42.18405,38.41405,960
3,0,3,8,124837,2.830771,4.127771,43.02915,39.25915,981
4,0,4,8,161862,3.67034,4.96734,43.8687,40.0987,1002
5,0,5,30,189921,4.306599,5.603599,44.50495,40.73495,1018
6,0,6,39,216284,4.904399,6.201399,45.10275,41.33275,1033
7,0,7,30,234893,5.326372,6.623372,45.52475,41.75475,1044
8,0,8,39,255683,5.7978,7.0948,45.99615,42.22615,1056
9,0,9,44,291981,6.620884,7.917884,46.81925,43.04925,1076
10,0,10,8,317375,7.196712,8.493712,47.39505,43.62505,1091
11,0,11,21,337680,7.657143,8.954143,47.9484,44.1784,1104
12,0,12,10,355320,8.057143,9.354143,48.3484,44.5784,1114
13,0,13,29,374172,8.484626,9.781626,48.77585,45.00585,1125
14,0,14,44,395931,8.978027,10.275027,49.26925,45.49925,1137
15,0,15,9,418175,9.482426,10.779426,49.77365,46.00365,1150
16,0,16,40,440661,9.992313,11.289313,50.28355,46.51355,1163
17,0,17,29,470658,10.672517,11.969517,50.96375,47.19375,1180
18,0,18,30,488783,11.083515,12.380515,51.37475,47.60475,1190
19,0,19,43,516115,11.703288,13.000288,51.99455,48.22455,1206
20,0,20,9,554352,12.57034,13.86734,52.8616,49.0916,1227
21,0,21,43,587984,13.332971,14.629971,53.62425,49.85425,1246
22,0,22,30,609016,13.809887,15.106887,54.10115,50.33115,1258
23,0,23,22,638287,14.473628,15.770628,54.7649,50.9949,1275
24,0,24,29,673615,15.274717,16.571717,55.566,51.796,1295
25,0,25,8,704825,15.982426,17.279426,56.2737,52.5037,1313
26,0,26,30,742576,16.838458,18.135458,57.12975,53.35975,1334
27,0,27,44,765547,17.359342,18.656342,57.6506,53.8806,1347
28,0,28,40,793364,17.990113,19.287113,58.2814,54.5114,1363
29,0,29,22,816577,18.516485,19.813485,58.80775,55.03775,1376
30,0,30,39,855540,19.4,20.697,59.78415,56.01415,1400
31,0,31,9,889899,20.179116,21.476116,60.56325,56.79325,1420
32,0,32,7,910447,20.645057,21.942057,61.0292,57.2592,1431
33,0,33,21,948925,21.517574,22.814574,61.90175,58.13175,1453
34,0,34,29,985708,22.351655,23.648655,62.7358,58.9658,1474
35,0,35,21,1024428,23.22966,24.52666,63.61385,59.84385,1496
36,0,36,9,1047157,23.745057,25.042057,64.12925,60.35925,1509
37,0,37,10,1076670,24.414286,25.711286,64.79845,61.02845,1526
38,0,38,10,1103275,25.017574,26.314574,65.40175,61.63175,1541
39,0,39,39,1128912,25.598912,26.895912,65.9831,62.2131,1555
40,0,40,7,1168359,26.493401,27.790401,66.87755,63.10755,1578
41,0,41,7,1201749,27.250544,28.547544,67.63475,63.86475,1597
42,0,42,10,1237320,28.057143,29.354143,68.44135,64.67135,1617
43,0,43,29,1262229,28.621973,29.918973,69.00615,65.23615,1631
44,0,44,9,1282292,29.076916,30.373916,69.4611,65.6911,1642
45,0,45,44,1306717,29.630771,30.927771,70.01495,66.24495,1656
46,0,46,30,1339380,30.371429,31.668429,70.7556,66.9856,1675
47,0,47,8,1362835,30.903288,32.200288,71.28745,67.51745,1688
48,0,48,40,1380718,31.308798,32.605798,71.693,67.923,1698
49,0,49,22,1418227,32.159342,33.456342,72.54355,68.77355,1719
50,0,50,43,1454040,32.971429,34.268429,73.35565,69.58565,1740
51,0,51,7,1486945,33.717574,35.014574,74.10175,70.33175,1758
52,0,52,22,1508947,34.216485,35.513485,74.6007,70.8307,1771
53,0,53,40,1540883,34.940658,36.237658,75.32485,71.55485,1789
54,0,54,40,1569669,35.593401,36.890401,75.9776,72.2076,1805
55,0,55,9,1605725,36.410998,37.707998,76.7952,73.0252,1826
56,0,56,10,1632815,37.025283,38.322283,77.4095,73.6395,1841
57,0,57,29,1664993,37.754943,39.051943,78.13915,74.36915,1859
58,0,58,22,1688933,38.2978,39.5948,78.682,74.912,1873
59,0,59,40,1720385,39.010998,40.307998,79.3952,75.6252,1891
60,0,60,8,1744567,39.559342,40.856342,79.94355,76.17355,1904
61,0,61,39,1775534,40.261542,41.558542,80.64575,76.87575,1922
62,0,62,43,1809651,41.03517,42.33217,81.4194,77.6494,1941
63,0,63,30,1844737,41.830771,43.127771,82.215,78.445,1961
64,0,64,40,1864073,42.269229,43.566229,82.65345,78.88345,1972
65,0,65,9,1895767,42.987914,44.284914,83.37215,79.60215,1990
66,0,66,22,1933761,43.849456,45.146456,84.23365,80.46365,2012
67,0,67,7,1964243,44.540658,45.837658,84.9249,81.1549,2029
68,0,68,22,1991091,45.149456,46.446456,85.5337,81.7637,2044
69,0,69,44,2020846,45.824172,47.121172,86.2084,82.4384,2061
70,0,70,7,2053267,46.559342,47.856342,86.94355,83.17355,2079
71,0,71,39,2076965,47.096712,48.393712,87.48095,83.71095,2093
72,0,72,10,2111566,47.881315,49.178315,88.26555,84.49555,2112
73,0,73,21,2144714,48.632971,49.929971,89.0172,85.2472,2131
74,0,74,21,2169865,49.203288,50.500288,89.58755,85.81755,2145
75,0,75,21,2189444,49.647256,50.944256,90.0315,86.2615,2157
76,0,76,44,2223318,50.415374,51.712374,90.7996,87.0296,2176
