Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta
0,321,322,3,74,21,2152177,48.8022,232.3232,271.23135,267.46135,6687,6687,311.864552765113,306.166940485851,137.926402220932,245.961308541495,309.015746625482,191.9438553812135,2.8488061396309945,-54.01745316028149,-3.0889028434529733,268.5,160.5,42.11552368577705,29.26643863758754,51.28588271498234,0.607300722406293
1,553,554,6,57,21,1704489,38.650544,403.147544,442.01005,438.24005,10956,10956,361.206412555876,366.25271739265,316.095195986837,310.250001711976,363.729564974263,313.1725988494065,-2.523152418386985,2.9225971374305004,0.7121794714464227,268.5,160.5,-171.8522727891282,-53.33281186877586,179.93774613632118,-2.8406758804129666
2,635,636,7,56,21,1661116,37.667029,462.514029,501.3986,497.6286,12441,12441,238.049236822476,237.013530387792,437.652673488876,428.749115449633,237.531383605134,433.20089446925454,0.5178532173419796,4.451779019621483,-0.1158045400565506,268.5,160.5,62.27065710587296,-267.29608734387915,274.4536992750214,-1.341913651462143
3,636,637,7,57,21,1695718,38.451655,463.298655,502.18325,498.41325,12460,12460,239.783133162341,236.239155880539,435.157707369855,428.269361830812,238.01114452144,431.7135346003335,1.7719886409010144,3.444172769521515,-0.4751714246192751,268.5,160.5,151.1888471159658,-227.2185823530812,272.9218783073259,-0.983678472783842
4,801,802,9,57,21,1650455,37.425283,582.871283,621.7152,617.9452,15449,15449,241.936699257999,247.562396629645,142.133342260771,148.993022664063,244.749547943822,145.563182462417,-2.812848685822985,-3.4298402016459875,2.4547088086472004,268.5,160.5,-8.89256700889294,-26.61042545725653,28.05695085043736,-1.8933051391069469
5,328,329,3,81,30,2338899,53.036259,236.557259,275.46545,271.69545,6792,6792,312.178386481104,305.74609918921,137.661924117827,139.21629097299,308.962242835157,138.4391075454085,3.216143645947,-0.7771834275814911,-1.8079015387118167,336.1,102.1,28.9480292877361,34.914183385711986,45.35403621657894,0.8785500789979179
6,331,332,4,1,30,67992,1.541769,245.464769,284.34285,280.57285,7014,7014,300.612706921214,295.384659470666,122.988634249498,127.466742878898,297.99868319594,125.227688564198,2.6140237252740235,-2.239054314699999,-2.279083446600608,336.1,102.1,-7.221241726532562,43.98242817822669,44.57129480423341,1.7335291489966531
7,483,484,5,70,30,2031459,46.06483,350.28783,389.1452,385.3752,9634,9634,236.601190888297,243.689199773048,362.643872407324,358.060419785181,240.1451953306725,360.3521460962525,-3.5440044423754955,2.2917263110715,0.996780549108058,336.1,102.1,-164.75705686927836,-220.80898467730503,275.50226043074304,-2.211830138225311
8,621,622,7,42,30,1294456,29.352744,454.199744,493.0843,489.3143,12233,12233,242.502412213327,237.643030943202,283.635471930236,291.138338085506,240.0727215782645,287.386905007871,2.429690635062485,-3.7514330776349993,-2.5668571435641097,336.1,102.1,20.125173267269133,207.7196494543637,208.69229829699356,1.4742115580860362
9,634,635,7,55,30,1643476,37.267029,462.114029,500.9986,497.2286,12431,12431,235.849086329714,231.377274511698,443.197590326661,437.108281731082,233.613180420706,440.1529360288715,2.235905909008011,3.044654297789464,-0.6334233031014221,336.1,102.1,282.7010294270796,-211.8099707428537,353.2468481745011,-0.6430123823694546
10,817,818,9,73,30,2094798,47.501088,592.947088,631.791,628.021,15701,15701,248.099866364265,244.795037055407,88.1186712948196,95.4093331863812,246.447451709836,91.7640022406004,1.652414654429009,-3.645330945780799,-2.716000991170564,336.1,102.1,-85.92237585980882,27.599956362433744,90.24639751592584,2.830783733106283
11,824,825,9,80,30,2290002,51.927483,597.373483,636.21745,632.44745,15811,15811,252.248784812525,247.907119118073,193.964476124433,297.33167433616,250.077951965299,245.6480752302965,2.170832847225995,-51.68359910586352,-3.099614973212863,336.1,102.1,-79.92222266541816,147.03156455206005,167.34946265347637,2.068690921953935
12,370,371,4,40,9,1171752,26.57034,270.49334,309.3715,305.6015,7640,7640,308.690307890071,304.550348059652,231.116851903655,227.365408547745,306.6203279748615,229.2411302257,2.069979915209501,1.8757216779549992,-0.8345913190139497,339.6,160.2,73.30621622769112,-21.921110649480568,76.5136355803838,-0.2905710666081923
13,474,475,5,61,9,1775534,40.261542,344.484542,383.3419,379.5719,9489,9489,229.610372653024,231.705876267664,383.734170689475,374.231218593836,230.658124460344,378.9826946416555,-1.0477518073199974,4.751476047819494,0.2170374759208797,339.6,160.2,59.27393444615132,-237.10925839375216,244.40580950697915,-1.3258310808179643
14,537,538,6,41,9,1202961,27.278027,391.775027,430.6375,426.8675,10672,10672,333.469182572064,337.801727961301,301.307519744217,307.031952475644,335.6354552666825,304.1697361099305,-2.166272694618499,-2.8622163657134934,2.4937209984988264,339.6,160.2,-90.0456053557178,112.4045883699942,144.0243122896461,2.246198372536247
15,557,558,6,61,9,1808730,41.014286,405.511286,444.3738,440.6038,11015,11015,365.564020524313,374.333032217747,314.624480883736,313.190195457404,369.94852637103,313.90733817057003,-4.384505846716991,0.7171427131659698,1.4086689927084026,339.6,160.2,-156.59043824915247,5.139407486612244,156.67475501935556,3.1087837327579453
16,802,803,9,58,9,1676575,38.017574,583.463574,622.30745,618.53745,15463,15463,243.047745321061,245.824962819517,139.067218699739,147.723719587764,244.43635407028896,143.39546914375148,-1.3886087492279842,-4.328250444012497,2.831141981905315,339.6,160.2,-85.48086314677084,-45.07253930739925,96.6359755160262,-2.656358233166762
17,803,804,9,59,9,1696396,38.467029,583.913029,622.75695,618.98695,15475,15475,239.86290247229,243.196751308671,141.179087713189,149.005545453653,241.52982689048048,145.092316583421,-1.66692441819049,-3.9132288702319897,2.738899328189612,339.6,160.2,-84.30475912343208,-52.33267183210504,99.22701724805954,-2.586051139399673
18,419,420,5,6,22,178726,4.052744,308.275744,347.133,343.363,8584,8584,298.587590922569,292.039992404623,234.562303280705,225.492931207077,295.313791663596,230.027617243891,3.2737992589729856,4.5346860368140085,-0.625303600889784,269.0,226.5,-19.26997164624535,-18.262746449738408,26.549194246427376,-2.3830239755573115
19,482,483,5,69,22,1999281,45.33517,349.55817,388.41555,384.64555,9616,9616,209.371118456725,241.888943963864,374.503326507351,371.003022770648,225.63003121029448,372.7531746389995,-16.25891275356949,1.7501518683515087,1.4635665954522863,269.0,226.5,-140.7715116991931,-58.77352106799161,152.54817365280292,-2.746083125550116
20,514,515,6,18,22,537487,12.187914,376.684914,415.54735,411.77735,10294,10294,335.662416035326,341.886078945275,381.013526126753,311.800082309169,338.77424749030047,346.406804217961,-3.1118314549744923,34.606721908792,0.0896786736950601,269.0,226.5,-80.23253977242246,-113.17608789964768,138.73026818471206,-2.1874823304679287
21,550,551,6,54,22,1616919,36.66483,401.16183,440.02435,436.25435,10906,10906,380.537771291946,389.056952288546,293.342281794142,297.589920601767,384.797361790246,295.4661011979545,-4.2595904982999855,-2.1238194038124902,2.033320973735993,269.0,226.5,-10.049938198307157,134.40368616313256,134.77890084144337,1.6454317083917749
22,595,596,7,16,22,516939,11.721973,436.568973,475.45345,471.68345,11792,11792,312.468053554901,307.434548463699,118.903420314823,236.625417530617,309.9513010093,177.76441892271998,2.5167525456010367,-58.86099860789699,-3.098861123902384,269.0,226.5,38.83200629048184,-50.44047189262217,63.656625085645466,-0.9147066922903768
23,787,788,9,43,22,1314568,29.808798,575.254798,614.09865,610.32865,15258,15258,248.042031662457,251.899732278931,180.025611334295,187.087851739324,249.970881970694,183.5567315368095,-1.9288503082370028,-3.5311202025145008,2.641638336668499,269.0,226.5,3.8863390643264286,-46.80948630301341,46.97054012117499,-1.4879617028839969
24,791,792,9,47,22,1407905,31.925283,577.371283,616.21515,612.44515,15311,15311,246.067287833431,250.76352586342,183.237938540472,189.853890857769,248.4154068484255,186.5459146991205,-2.348119014994495,-3.3079761586485006,2.5242961170667515,269.0,226.5,6.341102964491007,-44.49544719001627,44.94501537930323,-1.4292382379071678
25,804,805,9,60,22,1733905,39.317574,584.763574,623.60745,619.83745,15496,15496,240.19862277417,243.181404802647,141.312945784244,149.271528584473,241.6900137884085,145.2922371843585,-1.491391014238502,-3.979291400114505,2.7830077823902206,269.0,226.5,2.926902883132997,-85.6269194115467,85.6769285653892,-1.5366275892183154
26,473,474,5,60,8,1744082,39.548345,343.771345,382.6287,378.8587,9471,9471,238.957507270035,243.227399261675,390.798115858885,381.276462253432,241.092453265855,386.0372890561585,-2.1349459958200043,4.760826802726513,0.4215560159528073,344.6,277.3,49.95260374068173,-141.57099858986024,150.12531519435282,-1.2315893338351214
27,526,527,6,30,8,877832,19.905488,384.402488,423.26495,419.49495,10487,10487,349.485776261297,355.876008853054,357.88394612365,236.486125753031,352.6808925571755,297.1850359383405,-3.195116295878506,60.6989101853095,0.0525902381090221,344.6,277.3,-9.114997129465545,-19.43276372828996,21.464283794007823,-2.0093813164232674
28,532,533,6,36,8,1066299,24.179116,388.676116,427.5386,423.7686,10594,10594,336.824454675774,342.721182233209,343.426945745891,232.631490182247,339.77281845449147,288.029217964069,-2.9483637787174644,55.39772778182197,0.0531715797414231,344.6,277.3,4.250138718143873,-10.970602566419654,11.765109425491934,-1.2011888974356657
29,631,632,7,52,8,1565841,35.506599,460.353599,499.23815,495.46815,12387,12387,231.726861236311,226.281728789773,419.322707790159,415.375749015049,229.004295013042,417.349228402604,2.7225662232690127,1.97347938755496,-0.9435798978773048,344.6,277.3,181.2352028138862,11.39976528732575,181.59337374363795,0.062817634011533
30,805,806,9,61,8,1762207,39.959342,585.405342,624.24925,620.47925,15512,15512,243.785537668927,243.091300606603,149.062937317047,280.756280304184,243.43841913776495,214.90960881061548,0.3471185311620104,-65.8466714935685,-3.1363210839284577,344.6,277.3,-101.48906902336256,-61.856246443524974,118.8538024436364,-2.594226760993347
31,489,490,5,76,29,2184549,49.536259,353.759259,392.61665,388.84665,9721,9721,204.401859357272,227.627659840789,334.720287091082,311.908461785024,216.0147595990305,323.314374438053,-11.612900241758496,11.40591265302902,0.7943900263176453,267.0,101.0,-122.88076707495526,-192.15486697869008,228.0858957071381,-2.1397463409723034
32,530,531,6,34,29,994915,22.560431,387.057431,425.9199,422.1499,10554,10554,315.276181273225,322.3379112867,337.295396505024,333.13758276312,318.8070462799625,335.216489634072,-3.5308650067374856,2.0789068709519825,1.0386667997306305,267.0,101.0,-228.11635873376903,-74.1907065528286,239.8777481567674,-2.8271510636994117
