frame,blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,frame_T,spike_1_Chan1,spike_1_Chan2,spike_1_Chan3,spike_1_Chan4,spike_1_Chan5,spike_1_Chan6,spike_1_Chan7,spike_1_Chan8,spike_1_Chan9,spike_1_Chan10,spike_1_Chan11,spike_1_Chan12,spike_1_Chan13,spike_1_Chan14,spike_1_Chan15,spike_1_Chan16,spike_1_Chan17,spike_1_Chan18,spike_1_Chan19,spike_1_Chan20,spike_1_Chan21,spike_1_Chan22,spike_1_Chan23,spike_1_Chan24,spike_1_Chan25,spike_1_Chan26,spike_1_Chan27,spike_1_Chan28,spike_1_Chan29,spike_1_Chan30,spike_1_Chan31,spike_1_Chan32,spike_2_Chan1,spike_2_Chan2,spike_2_Chan3,spike_2_Chan4,spike_2_Chan5,spike_2_Chan6,spike_2_Chan7,spike_2_Chan8,spike_2_Chan9,spike_2_Chan10,spike_2_Chan11,spike_2_Chan12,spike_2_Chan13,spike_2_Chan14,spike_2_Chan15,spike_2_Chan16,spike_2_Chan17,spike_2_Chan18,spike_2_Chan19,spike_2_Chan20,spike_2_Chan21,spike_2_Chan22,spike_2_Chan23,spike_2_Chan24,spike_2_Chan25,spike_2_Chan26,spike_2_Chan27,spike_2_Chan28,spike_2_Chan29,spike_2_Chan30,spike_2_Chan31,spike_2_Chan32
656,28,296.168566291763,128.277319177086,0.266415601217395,0.142751483549284,2.47745532322166,3.5902642895701,NaN,254.197887760507,0.301743174454607,0.343461087444595,22.8039394575835,14.0373843162959,20,NaN,191.237603468797,NaN,-62.9602842917105,NaN,31.2671083997722,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,7,292.746591374348,NaN,0.0512831260514329,6.0496106362362e+144,0.555446694985572,43.8023434584757,NaN,253.904628153348,0.295701393618355,0.356644108203041,22.9420699215949,13.4499832467103,20,NaN,NaN,NaN,NaN,NaN,31.3071083997722,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,29,293.960514472001,129.59005572982,0.210584841460658,0.13027014747713,2.57129526312294,3.10257877007692,NaN,255.238756515747,0.317323036757879,0.382641534890218,23.572036098097,13.1305611019124,29,NaN,192.414406122784,NaN,-62.8243503929635,NaN,31.3471083997722,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,27,293.770172776663,130.111944848248,0.0990937943601023,0.111645644300322,2.94918141156479,1.90143700830412,302.138291835687,268.361091153469,0.164162455172084,0.154570531391253,2.22479228306104,1.68318379134608,21,297.954232306175,199.236518000858,-4.18405952951201,-69.1245731526105,3.08113714983096,32.1471083997722,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,8,293.024964768164,NaN,0.0686125833772436,5.0555250814731e+281,0.941818890562655,60.9678390095748,305.786684986762,267.806990787968,0.0925275600869276,0.211351923481614,2.9149416029262,1.70498011428751,17,299.405824877463,NaN,-6.38086010929902,NaN,NaN,32.1871083997722,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,0,320.5,240.5,-0,-0,319.5,239.5,306.257072145481,267.892334681968,0.185338378208984,0.215967991754231,1.6564553754152,2.07953369156706,17,313.378536072741,254.196167340984,7.12146392725947,-13.696167340984,-2.66210457487359,32.2271083997722,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,20,283.72433217236,137.147407244352,0.145775721802398,0.119632366972138,2.79640871309972,2.42478552851471,289.343428652197,130.003152229041,0.0862452700578558,0.0430220163230791,1.45322378238597,2.34514963734759,13,286.533880412279,133.575279736697,-2.80954823991851,3.57212750765549,0.666466955515792,32.9871083997722,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,7,NaN,NaN,0.0304724976727262,4.38223115289061e+129,1.49883041020863,42.8318877780528,NaN,274.346321894649,0.052354367331436,0.281586987552288,14.8859691359883,1.2692914624495,9,NaN,NaN,NaN,NaN,NaN,33.0271083997722,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,13,286.4985292775,133.898282345109,0.121407363581234,0.0545719923265326,1.78565515425363,3.28774142985836,292.755988483425,277.552174132306,0.204686162291284,0.0444986819316612,2.74442339386135,10.4997425151591,24,289.627258880462,205.725228238708,-3.12872960296249,-71.8269458935985,3.09806089839901,33.0671083997722,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,37,287.825085739865,133.577095278312,0.278902437588864,0.174354677417793,2.07812193571001,2.77554567018382,295.904075327448,129.61462557479,0.247034968702605,0.141060513885753,2.38411524608692,3.21671213348994,27,291.864580533657,131.595860426551,-4.0394947937915,1.981234851761,1.11480496698666,33.7071083997722,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
