scorer,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000
bodyparts,red_LED,red_LED,red_LED,blue_LED,blue_LED,blue_LED
coords,x,y,likelihood,x,y,likelihood
0,189.0845489501953,472.9285888671875,2.5293966245953925e-05,189.96322631835938,484.2490234375,1.4839451978332363e-05
1,179.53115844726562,483.1640625,8.817304478725418e-05,189.1583709716797,484.1903991699219,6.928686343599111e-05
2,179.139892578125,483.2803039550781,6.301695975707844e-05,189.31576538085938,484.2395935058594,2.2924599761608988e-05
3,189.4845428466797,472.6430969238281,2.2019750758772716e-05,604.4876708984375,268.1878356933594,1.9851662727887742e-05
4,178.88687133789062,482.929931640625,2.2742100554751232e-05,189.72930908203125,484.0599670410156,1.4290872968558688e-05
5,626.8974609375,293.4923095703125,0.00012949109077453613,644.8187255859375,303.9985046386719,5.1847408030880615e-05
6,627.6890258789062,291.9855041503906,5.967218748992309e-05,605.9856567382812,270.8780517578125,2.2923048163647763e-05
7,179.78353881835938,482.4051513671875,0.00012809038162231445,188.8604278564453,483.8612365722656,4.121020538150333e-05
8,179.85552978515625,482.66424560546875,0.00018617510795593262,189.02247619628906,484.0680236816406,9.161099296761677e-05
9,532.2151489257812,175.04037475585938,1.6698930267011747e-05,606.824951171875,271.25311279296875,4.998547592549585e-05
10,179.09010314941406,483.02618408203125,3.0708673875778913e-05,189.34716796875,484.1524963378906,2.020435749727767e-05
11,174.035888671875,483.0442810058594,7.061300857458264e-05,175.66537475585938,484.30633544921875,2.6660929506761022e-05
12,179.2873077392578,483.2320251464844,5.578836135100573e-05,189.95281982421875,484.1023864746094,1.8995702703250572e-05
13,180.7942352294922,483.1188659667969,0.00058022141456604,189.3890380859375,484.1678771972656,0.00037428736686706543
14,194.31298828125,483.7177429199219,0.00026798248291015625,192.18968200683594,484.2190856933594,8.657645958010107e-05
15,179.4429168701172,482.43157958984375,0.0009503066539764404,187.87283325195312,484.00555419921875,0.00017893314361572266
16,187.6600341796875,483.81219482421875,0.00010451981506776065,190.35452270507812,484.0685729980469,7.766816270304844e-05
17,531.9202880859375,175.61972045898438,2.029266397585161e-05,106.55436706542969,-1.352745532989502,5.059719569544541e-06
18,532.8269653320312,174.7813720703125,2.681658043002244e-05,189.9584503173828,484.2998352050781,6.731308985763462e-06
19,180.7637481689453,482.8364562988281,0.0026837587356567383,188.76754760742188,484.14056396484375,0.001685500144958496
20,532.6505737304688,170.22164916992188,1.7802418369683437e-05,5.349522113800049,-0.14709043502807617,5.062465788796544e-06
21,187.8585205078125,482.5886535644531,0.00025528669357299805,190.3861083984375,483.7026062011719,0.00017011165618896484
22,180.5415802001953,482.71563720703125,0.0015238821506500244,188.60018920898438,484.1712341308594,0.0008889436721801758
23,180.14234924316406,482.3453369140625,0.0004119575023651123,188.90635681152344,483.9845886230469,0.00013759732246398926
24,532.28466796875,175.14869689941406,3.019679024873767e-05,189.260009765625,484.0729064941406,1.398311633238336e-05
25,179.92327880859375,483.1488342285156,6.580256012966856e-05,189.98561096191406,484.1578369140625,2.7858835892402567e-05
26,189.71058654785156,472.67279052734375,2.4092803869280033e-05,190.92205810546875,484.0760498046875,8.171446097549051e-06
27,532.2135620117188,175.3924560546875,1.3080130884191021e-05,106.60564422607422,-1.3529515266418457,4.874147180089494e-06
28,187.88619995117188,483.7030029296875,0.0005160272121429443,190.64834594726562,484.07476806640625,0.00030866265296936035
29,179.74269104003906,483.2665710449219,5.179749496164732e-05,190.10919189453125,483.98443603515625,2.3188480554381385e-05
30,180.09544372558594,482.6390380859375,0.00020173192024230957,189.19314575195312,483.8863830566406,6.925964407855645e-05
31,189.5549774169922,473.0460510253906,1.29330455820309e-05,190.6241455078125,484.13372802734375,7.650148290849756e-06
32,179.6780548095703,473.920166015625,1.1939252544834744e-05,106.59158325195312,-1.34067964553833,4.982240170647856e-06
33,179.35330200195312,483.7975769042969,6.48202039883472e-05,190.27035522460938,484.1470031738281,2.3380247512250207e-05
34,531.1325073242188,174.62466430664062,1.1406451449147426e-05,5.293802261352539,-0.27161741256713867,4.401795649755513e-06
35,180.01513671875,483.1917419433594,2.3245605916599743e-05,190.94229125976562,483.98455810546875,1.094883555197157e-05
36,179.23912048339844,482.95037841796875,0.002285391092300415,187.27952575683594,484.05157470703125,0.0006104111671447754
37,172.49981689453125,482.3559265136719,1.4039705092727672e-05,174.17010498046875,483.5853271484375,9.987660632759798e-06
38,531.5660400390625,174.91127014160156,7.262284270836972e-06,5.315115928649902,-0.21334600448608398,4.640797214960912e-06
39,531.489990234375,174.19500732421875,1.095233437808929e-05,5.299185752868652,-0.20055484771728516,5.446991508506471e-06
40,189.60511779785156,472.3401794433594,8.536522727808915e-06,5.279470443725586,-0.19087839126586914,5.246999990049517e-06
41,179.70443725585938,474.25469970703125,1.7601223589736037e-05,190.18223571777344,484.115234375,7.268644822033821e-06
42,180.25149536132812,482.3675537109375,0.0021673738956451416,188.54248046875,483.9541931152344,0.0006827712059020996
43,189.1357879638672,472.8500061035156,3.542010745150037e-05,190.2751007080078,484.0269470214844,1.490583144914126e-05
44,189.39039611816406,472.6343994140625,1.8887623809860088e-05,190.42259216308594,484.13671875,8.452838301309384e-06
45,164.16232299804688,481.7275085449219,1.660993802943267e-05,173.912109375,483.7978820800781,1.1579460988286883e-05
46,179.65618896484375,473.74041748046875,7.371465471806005e-06,5.304753303527832,-0.18737554550170898,5.330273779691197e-06
47,612.840576171875,323.53948974609375,8.754108421271667e-06,5.344635963439941,-0.1710491180419922,5.2395994316611905e-06
48,621.6343994140625,322.4380798339844,2.1772637410322204e-05,5.320892333984375,-0.18473577499389648,5.0454373194952495e-06
49,179.3301239013672,473.58013916015625,8.081353371380828e-06,5.359781742095947,-0.17470693588256836,4.803671799891163e-06
50,180.05821228027344,483.758544921875,8.63168461364694e-05,190.47511291503906,484.1872863769531,5.6166532885981724e-05
51,546.24072265625,265.2423095703125,0.0001239180564880371,548.1031494140625,269.2542724609375,7.165041461121291e-05
52,189.58860778808594,472.6565856933594,7.1048598329070956e-06,5.303102016448975,-0.20888566970825195,4.780761628353503e-06
53,180.40859985351562,483.31878662109375,2.7140968086314388e-05,191.36392211914062,483.8233337402344,1.1846035704365931e-05
54,180.0015411376953,483.1147155761719,8.109583723125979e-05,190.07093811035156,483.9913330078125,3.8977839722065255e-05
55,179.73590087890625,483.1780700683594,5.686324948328547e-05,189.83274841308594,483.7950744628906,2.5355890102218837e-05
56,179.1348114013672,473.84747314453125,7.183455636550207e-06,610.9431762695312,304.7129821777344,9.756948202266358e-06
57,624.7533569335938,220.52378845214844,0.9999996423721313,632.1461181640625,214.7750701904297,0.02986171841621399
58,624.3566284179688,222.9957275390625,1.0,624.1257934570312,219.1046905517578,0.9804928302764893
59,624.4816284179688,225.06988525390625,1.0,628.222900390625,220.06439208984375,0.40044069290161133
60,622.91650390625,224.83668518066406,1.0,628.6754760742188,218.75457763671875,0.18146449327468872
61,622.0634155273438,222.84873962402344,1.0,628.43115234375,217.75599670410156,0.07969900965690613
62,620.8359375,218.9083251953125,1.0,618.1918334960938,216.4403839111328,0.775087833404541
63,616.7305297851562,213.33499145507812,0.9999997615814209,624.974365234375,221.48941040039062,1.0
64,613.4033203125,206.63800048828125,1.0,619.927978515625,217.43548583984375,1.0
65,610.6929931640625,200.31744384765625,0.9999997615814209,618.6146850585938,211.18812561035156,1.0
66,607.2063598632812,196.703369140625,0.9999989867210388,615.0740966796875,205.313232421875,1.0
67,607.843017578125,193.95114135742188,0.9999995231628418,614.5054321289062,200.43084716796875,1.0
68,606.5023803710938,186.89605712890625,0.9999996423721313,615.43310546875,196.0311279296875,1.0
69,603.736328125,182.10723876953125,0.9999998807907104,614.0360107421875,190.88418579101562,1.0
70,598.0009155273438,175.32940673828125,0.9999997615814209,609.9639282226562,184.9695587158203,1.0
71,592.118896484375,168.68490600585938,0.9999877214431763,603.7949829101562,177.3942413330078,1.0
72,586.6301879882812,162.73736572265625,0.9999995231628418,596.5408325195312,171.03030395507812,1.0
73,580.2537841796875,156.6638641357422,1.0,591.7769775390625,164.19984436035156,0.9999998211860657
74,576.1857299804688,149.59214782714844,0.9999827146530151,588.4099731445312,156.56845092773438,0.9999992847442627
75,574.7594604492188,144.42474365234375,0.9999841451644897,588.06640625,149.54901123046875,0.9999994039535522
76,573.7015991210938,139.4492645263672,0.9999910593032837,586.0484619140625,143.21145629882812,0.9999954104423523
77,569.9292602539062,133.17137145996094,0.9999862909317017,582.9729614257812,136.7681884765625,0.9999945163726807
78,567.5726318359375,125.1168441772461,0.9999951124191284,580.390380859375,129.46917724609375,1.0
79,567.3932495117188,118.46144104003906,0.9999346733093262,578.0621948242188,122.9739761352539,0.999998927116394
80,567.7337036132812,114.63557434082031,0.9984326362609863,576.7365112304688,115.8684310913086,0.9999993443489075
81,569.2789306640625,107.32328796386719,0.060166239738464355,574.3657836914062,111.21844482421875,0.9999842643737793
82,575.2072143554688,102.7077865600586,0.0023732781410217285,574.2630004882812,105.86892700195312,0.999996542930603
83,566.459716796875,96.10945892333984,0.9967653751373291,573.43212890625,101.54962921142578,0.9999997615814209
84,574.5184936523438,94.83197784423828,0.0048122406005859375,572.7180786132812,97.628173828125,1.0
85,566.9837646484375,91.98870086669922,0.002166658639907837,571.1309204101562,94.91813659667969,0.999995231628418
86,566.5432739257812,91.59288024902344,0.0008857250213623047,569.2177734375,92.32047271728516,0.9999117255210876
