Chan,MeanRate
A18,"[26.82926829 26.82926829 21.95121951 25.20325203 26.01626016 18.69918699
 19.51219512 22.76422764 19.51219512 22.76422764 21.95121951 33.33333333
 32.5203252  37.39837398 27.64227642 17.07317073 20.32520325 30.89430894
 39.02439024 15.44715447 17.88617886 20.32520325 19.51219512 15.44715447
 19.51219512 22.76422764 21.13821138 21.13821138 20.32520325 17.88617886
 22.76422764 21.95121951 21.13821138 17.88617886 26.82926829 14.63414634
 19.51219512 15.44715447 14.63414634 21.13821138 12.19512195 22.76422764
 17.88617886 21.95121951 23.57723577 18.69918699 22.76422764 17.88617886
 22.76422764 17.88617886]"
A19,"[36.58536585 35.77235772 31.70731707 30.08130081 36.58536585 39.02439024
 41.46341463 48.7804878  38.21138211 36.58536585 38.21138211 37.39837398
 28.45528455 37.39837398 49.59349593 35.77235772 38.21138211 49.59349593
 47.96747967 41.46341463 33.33333333 36.58536585 33.33333333 37.39837398
 39.83739837 46.34146341 45.52845528 42.27642276 33.33333333 34.95934959
 42.27642276 46.34146341 44.71544715 39.83739837 39.02439024 29.26829268
 39.83739837 40.6504065  24.3902439  34.95934959 38.21138211 31.70731707
 30.08130081 33.33333333 33.33333333 34.95934959 37.39837398 36.58536585
 31.70731707 28.45528455]"
A21,"[11.38211382  8.94308943  8.94308943 16.2601626   6.50406504 10.56910569
 13.00813008  9.75609756  9.75609756 10.56910569 11.38211382  9.75609756
 13.82113821  9.75609756  9.75609756 15.44715447  8.1300813  14.63414634
 12.19512195  5.69105691 10.56910569  6.50406504  8.1300813  10.56910569
  4.06504065  8.94308943 12.19512195  4.06504065  8.94308943  5.69105691
  8.94308943  5.69105691  8.94308943  4.06504065  4.06504065  3.25203252
  5.69105691  7.31707317  8.1300813   1.62601626  6.50406504  7.31707317
  9.75609756  5.69105691  7.31707317  4.87804878  1.62601626  2.43902439
  1.62601626  3.25203252]"
A15,"[ 9.75609756  4.87804878 11.38211382  8.94308943  6.50406504  7.31707317
 13.82113821  8.94308943  7.31707317  8.94308943  8.94308943 13.00813008
  9.75609756  8.1300813  11.38211382 10.56910569  8.1300813  13.82113821
 10.56910569  8.94308943  5.69105691  4.06504065  8.1300813  11.38211382
  4.87804878  8.1300813   8.94308943  6.50406504  8.94308943  2.43902439
  7.31707317 10.56910569  6.50406504  5.69105691  5.69105691  2.43902439
  5.69105691  8.1300813   8.1300813   5.69105691  4.06504065  2.43902439
  4.87804878  1.62601626  2.43902439  4.87804878  0.          0.81300813
  4.06504065  2.43902439]"
A01,"[13.00813008 11.38211382  8.94308943 13.82113821 10.56910569  5.69105691
 17.88617886 13.00813008 15.44715447 10.56910569 15.44715447  9.75609756
 13.00813008  9.75609756 19.51219512 14.63414634 15.44715447 19.51219512
 14.63414634 13.82113821  8.1300813   9.75609756 16.2601626  10.56910569
  5.69105691 15.44715447 17.88617886 12.19512195 10.56910569  6.50406504
  8.1300813   9.75609756  8.1300813   7.31707317 13.82113821  4.06504065
  5.69105691 13.82113821  4.06504065  4.87804878  8.94308943  2.43902439
  7.31707317  2.43902439  5.69105691  3.25203252 14.63414634  2.43902439
  8.1300813   2.43902439]"
A16,"[35.77235772 50.40650407 28.45528455 32.5203252  43.08943089 41.46341463
 39.83739837 36.58536585 36.58536585 41.46341463 41.46341463 43.08943089
 39.83739837 44.71544715 47.15447154 40.6504065  30.08130081 47.96747967
 36.58536585 38.21138211 30.89430894 53.65853659 43.08943089 29.26829268
 34.95934959 38.21138211 43.90243902 26.82926829 39.02439024 34.14634146
 33.33333333 39.83739837 40.6504065  38.21138211 30.89430894 42.27642276
 30.89430894 26.01626016 33.33333333 32.5203252  38.21138211 37.39837398
 30.08130081 28.45528455 44.71544715 29.26829268 39.02439024 37.39837398
 34.95934959 33.33333333]"
A23,"[12.19512195  8.1300813   9.75609756  9.75609756  6.50406504  8.1300813
 17.07317073  8.94308943 13.00813008  9.75609756 13.82113821 13.00813008
 14.63414634 13.00813008  8.94308943 14.63414634 10.56910569 13.82113821
 13.00813008  8.94308943  5.69105691 10.56910569  6.50406504 12.19512195
  3.25203252 13.00813008 15.44715447 13.82113821  7.31707317  6.50406504
  7.31707317  4.06504065  4.06504065  4.06504065  7.31707317  4.06504065
  7.31707317  8.1300813   6.50406504  5.69105691  7.31707317  7.31707317
 11.38211382  9.75609756  3.25203252  3.25203252  7.31707317  1.62601626
  4.87804878  8.1300813 ]"
A13,"[43.08943089 50.40650407 33.33333333 43.08943089 39.83739837 43.90243902
 58.53658537 41.46341463 39.83739837 27.64227642 42.27642276 47.15447154
 28.45528455 23.57723577 40.6504065  41.46341463 40.6504065  47.96747967
 44.71544715 34.95934959 45.52845528 31.70731707 35.77235772 40.6504065
 44.71544715 46.34146341 46.34146341 48.7804878  39.83739837 32.5203252
 40.6504065  57.72357724 39.02439024 37.39837398 43.90243902 46.34146341
 39.02439024 40.6504065  49.59349593 40.6504065  34.14634146 33.33333333
 44.71544715 26.82926829 35.77235772 38.21138211 36.58536585 34.95934959
 34.95934959 40.6504065 ]"
A25,"[25.20325203 17.07317073 21.13821138 25.20325203 21.95121951 26.01626016
 27.64227642 22.76422764 25.20325203 30.89430894 29.26829268 60.16260163
 81.30081301 73.17073171 45.52845528 22.76422764 33.33333333 23.57723577
 19.51219512 38.21138211 27.64227642 32.5203252  35.77235772 34.95934959
 36.58536585 34.14634146 30.89430894 30.89430894 34.14634146 23.57723577
 23.57723577 20.32520325 36.58536585 33.33333333 32.5203252  17.07317073
 26.01626016 34.95934959 28.45528455 21.13821138 30.89430894 27.64227642
 22.76422764 20.32520325 17.07317073 15.44715447 25.20325203 26.01626016
 24.3902439  27.64227642]"
A10,"[13.00813008  4.06504065  5.69105691 10.56910569  4.87804878  4.87804878
 10.56910569  7.31707317 11.38211382  8.1300813  15.44715447  9.75609756
  8.94308943  8.94308943 11.38211382  8.94308943  8.1300813  20.32520325
 11.38211382  3.25203252  5.69105691 11.38211382  9.75609756  5.69105691
  2.43902439 14.63414634 10.56910569  4.87804878 12.19512195  2.43902439
  4.87804878  4.87804878  9.75609756  4.87804878  4.06504065  8.94308943
  3.25203252  4.06504065  3.25203252  8.1300813   8.94308943  3.25203252
  3.25203252  3.25203252  1.62601626  0.          4.06504065  0.
  4.06504065  0.        ]"
