Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A18,B03,B01,B08,A19,B25,A21,B15,B20,A15,A01,B18,A16,B32,A23,B10,B31,A13,A25,A10,A28,A30,A12,A32,A02,A31,B17,A07,B07,B13,B09,B12,B19,A14,B22,B02,B23,A20,B04,B27,A22,B11,A03,B24,A29,A04,B16,A11,B06,B21,B29,B26,A05,A09,A06,B30,A24,A27,A08,B14,A26,B05,B28,A17
0,3,4,0,4,30,128908,2.923084,3.989084,21.8207,16.1817,405,405,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,336.1,102.1,138.4,15.600000000000028,139.27641580684076,0.1122430111544803,0,1,2,0,0,1,0,2,0,0,0,0,0,1,0,13,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,4,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0
1,206,207,2,41,30,1194722,27.091202,148.798202,166.5472,160.9082,4023,4023,263.045626954878,258.470571150271,407.36561310077,295.04131395373,260.7580990525745,351.20346352725005,2.287527902303509,56.16214957351997,-0.0407082737648221,336.1,102.1,85.41725409849506,-245.83089773646603,260.2478387607545,-1.236383016761394,6,0,3,0,3,2,0,0,0,0,0,0,1,0,0,12,3,1,1,0,0,17,4,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,6,7,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,3,0,0,0,1,0,0
2,247,248,2,82,30,2374228,53.83737,175.54437,193.29345,187.65445,4691,4691,263.108945320897,256.287091374771,410.577203861198,292.639843053832,259.698018347834,351.608523457515,3.410926973062999,58.96868040368298,-0.057778645497222,336.1,102.1,90.6827327352804,-244.6802159186331,260.9439903088922,-1.2158735068493032,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,7,0,2,1,0,0,1,3,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0
3,314,315,3,66,30,1923826,43.624172,225.617172,243.3594,237.7204,5943,5943,347.782796107315,348.752686185923,393.895125175929,304.372839381146,348.26774114661896,349.1339822785375,-0.484945039303966,44.76114289739155,0.0108336390776873,336.1,102.1,-14.843251756297551,-246.88766717335852,247.33346381960507,-1.6308455245187676,0,2,2,1,3,2,3,1,0,2,3,0,1,1,0,5,3,1,2,2,0,1,4,0,0,0,3,0,2,4,2,0,2,1,3,2,1,0,3,3,4,11,3,4,1,0,2,0,2,2,5,3,0,1,0,2,3,2,1,3,1,1,3,2
4,355,356,4,24,30,719169,16.307687,258.675687,276.41485,270.77585,6769,6769,389.935566536795,395.100942504624,102.248609185783,108.599461860986,392.5182545207096,105.4240355233845,-2.582687983914525,-3.1754263376015075,2.458772846026138,336.1,102.1,41.67167713552029,38.17774194523871,56.51609200328949,0.7416695061633796,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
5,412,413,4,81,30,2357557,53.459342,295.827342,313.5666,307.9276,7698,7698,192.391144170348,177.410932603476,433.325938588934,295.580750071868,184.901038386912,364.453344330401,7.490105783436007,68.87259425853296,-0.108327333847821,336.1,102.1,178.67717013321084,-244.4685504260408,302.80423258967505,-0.9396447455113496,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,8,0,5,0,0,0,2,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,507,508,6,10,30,319071,7.23517,370.33717,388.08645,382.44745,9561,9561,374.991164452447,370.902628495657,391.218946152392,381.476083691604,372.946896474052,386.347514921998,2.0442679783949984,4.871431230393966,-0.3973255253572827,336.1,102.1,76.01410536922765,-276.3624419200571,286.62579004531494,-1.3023815606367262,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,7,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0
7,531,532,6,34,30,1023992,23.219773,386.321773,404.0711,398.4321,9961,9961,301.660900015466,309.528853520705,351.762279414168,354.191601605647,305.5948767680855,352.97694050990754,-3.933976752619514,-1.2146610957395296,1.8702718098562163,336.1,102.1,-248.71034311244185,44.86610136726198,252.7247550656761,2.9631171418931723,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,2,4,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
8,534,535,6,37,30,1119801,25.392313,388.494313,406.24365,400.60465,10015,10015,307.504450952461,314.797410483104,355.536380045738,360.558863547853,311.1509307177825,358.0476217967955,-3.6464797653214873,-2.5112417510575256,2.1738815409040733,336.1,102.1,-224.9465772056517,124.62214315660806,257.16073020872443,2.635677696846255,0,1,0,1,0,1,0,3,0,0,0,0,1,1,0,12,0,2,2,0,0,3,2,1,0,0,0,0,1,3,0,0,1,1,2,1,1,0,8,1,4,3,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0
9,550,551,6,53,30,1551545,35.182426,398.284426,416.0338,410.3948,10260,10260,324.380747329296,315.569744596252,410.348028598268,403.290895563354,319.975245962774,406.81946208081104,4.405501366522003,3.528566517456966,-0.8954791228880106,336.1,102.1,247.91649698320236,-177.90831567736706,305.14579837117185,-0.6224497945512137,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,14,0,1,1,0,0,6,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,10,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,0,0,0
10,662,663,7,82,30,2397247,54.359342,477.771342,495.4899,489.8509,12246,12246,378.531614496403,369.408570466349,409.531265698081,296.720889894207,373.970092481376,353.126077796144,4.561522015026981,56.40518790193698,-0.0806950002580133,336.1,102.1,-17.512287823122136,-253.26183173440057,253.8665705410299,-1.6398334058557584,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,11,0,2,3,0,0,1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0
11,720,721,8,57,30,1640035,37.189002,520.875002,538.5987,532.9597,13324,13324,370.248092329521,370.692391671187,187.747701129164,298.745191469836,370.470242000354,243.2464462995,-0.222149670833005,-55.49874517033601,3.1375898876945896,336.1,102.1,33.80499198560566,141.28289123242658,145.2708946697188,1.3359401318004842,1,9,6,14,3,14,0,7,17,0,0,17,3,13,0,11,12,1,5,0,0,0,4,0,0,0,13,0,9,18,10,15,12,3,13,10,12,0,19,10,3,8,1,12,0,0,12,0,21,17,16,12,0,2,0,15,0,4,1,15,0,7,15,0
12,731,732,8,68,30,1976068,44.808798,528.494798,546.21855,540.57955,13514,13514,392.324281258293,399.988313967412,92.4051879253495,98.6910128742937,396.1562976128525,95.5481003998216,-3.832016354559528,-3.142912474472112,2.2577168073685634,336.1,102.1,43.15119337783661,42.28073771119519,60.412633375266246,0.7752096362764322,1,0,2,0,10,0,0,1,0,0,7,0,7,0,0,13,0,1,9,0,5,10,2,12,9,4,0,0,0,0,0,0,0,4,0,1,1,10,0,1,9,5,4,0,4,3,0,0,0,0,0,0,9,2,8,0,5,10,6,0,0,0,0,0
13,788,789,9,42,30,1253797,28.430771,572.413771,590.11965,584.48065,14612,14612,187.569022514154,185.097694482306,368.103682815883,357.09762880642,186.33335849823,362.6006558111515,1.2356640159240158,5.503027004731507,-0.2208790440432719,336.1,102.1,203.2005069258811,-221.35987118225543,300.4840072029787,-0.8281442683160034,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,15,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
