,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta
0,3,4,0,4,30,128908,2.923084,3.989084,21.8207,16.1817,405,405,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,336.1,102.1,138.4,15.600000000000028,139.27641580684076,0.11224301115448032
1,206,207,2,41,30,1194722,27.091202,148.798202,166.5472,160.9082,4023,4023,263.045626954878,258.470571150271,407.36561310077,295.04131395373,260.7580990525745,351.20346352725005,2.287527902303509,56.16214957351997,-0.04070827376482211,336.1,102.1,85.41725409849506,-245.83089773646603,260.2478387607545,-1.236383016761394
2,247,248,2,82,30,2374228,53.83737,175.54437,193.29345,187.65445,4691,4691,263.108945320897,256.287091374771,410.577203861198,292.639843053832,259.698018347834,351.608523457515,3.410926973062999,58.96868040368298,-0.057778645497222,336.1,102.1,90.68273273528041,-244.6802159186331,260.9439903088922,-1.2158735068493032
3,314,315,3,66,30,1923826,43.624172,225.617172,243.3594,237.7204,5943,5943,347.782796107315,348.752686185923,393.895125175929,304.372839381146,348.26774114661896,349.1339822785375,-0.48494503930396604,44.76114289739155,0.010833639077687307,336.1,102.1,-14.843251756297551,-246.88766717335855,247.33346381960507,-1.6308455245187676
4,355,356,4,24,30,719169,16.307687,258.675687,276.41485,270.77585,6769,6769,389.935566536795,395.100942504624,102.248609185783,108.599461860986,392.51825452070955,105.4240355233845,-2.582687983914525,-3.1754263376015075,-3.824412461153448,336.1,102.1,41.6716771355203,38.17774194523869,56.516092003289494,0.7416695061633791
5,412,413,4,81,30,2357557,53.459342,295.827342,313.5666,307.9276,7698,7698,192.391144170348,177.410932603476,433.325938588934,295.580750071868,184.901038386912,364.453344330401,7.490105783436007,68.87259425853296,-0.108327333847821,336.1,102.1,178.67717013321084,-244.46855042604082,302.80423258967505,-0.9396447455113497
6,507,508,6,10,30,319071,7.23517,370.33717,388.08645,382.44745,9561,9561,374.991164452447,370.902628495657,391.218946152392,381.476083691604,372.946896474052,386.347514921998,2.0442679783949984,4.871431230393966,-0.3973255253572827,336.1,102.1,76.01410536922765,-276.3624419200571,286.62579004531494,-1.3023815606367262
7,531,532,6,34,30,1023992,23.219773,386.321773,404.0711,398.4321,9961,9961,301.660900015466,309.528853520705,351.762279414168,354.191601605647,305.5948767680855,352.97694050990754,-3.9339767526195146,-1.2146610957395296,-4.41291349732337,336.1,102.1,-248.71034311244185,44.86610136726198,252.7247550656761,2.9631171418931723
8,534,535,6,37,30,1119801,25.392313,388.494313,406.24365,400.60465,10015,10015,307.504450952461,314.797410483104,355.536380045738,360.558863547853,311.1509307177825,358.0476217967955,-3.6464797653214873,-2.5112417510575256,-4.109303766275513,336.1,102.1,-224.94657720565172,124.62214315660806,257.16073020872443,2.635677696846255
9,550,551,6,53,30,1551545,35.182426,398.284426,416.0338,410.3948,10260,10260,324.380747329296,315.569744596252,410.348028598268,403.290895563354,319.975245962774,406.81946208081104,4.405501366522003,3.528566517456966,-0.8954791228880106,336.1,102.1,247.91649698320234,-177.90831567736706,305.14579837117185,-0.6224497945512137
10,662,663,7,82,30,2397247,54.359342,477.771342,495.4899,489.8509,12246,12246,378.531614496403,369.408570466349,409.531265698081,296.720889894207,373.970092481376,353.126077796144,4.561522015026981,56.40518790193698,-0.08069500025801335,336.1,102.1,-17.512287823122136,-253.26183173440057,253.8665705410299,-1.6398334058557584
11,720,721,8,57,30,1640035,37.189002,520.875002,538.5987,532.9597,13324,13324,370.248092329521,370.692391671187,187.747701129164,298.745191469836,370.470242000354,243.2464462995,-0.22214967083300508,-55.49874517033601,-3.1455954194849967,336.1,102.1,33.8049919856056,141.28289123242658,145.2708946697188,1.3359401318004847
12,731,732,8,68,30,1976068,44.808798,528.494798,546.21855,540.57955,13514,13514,392.324281258293,399.988313967412,92.4051879253495,98.6910128742937,396.15629761285254,95.5481003998216,-3.832016354559528,-3.142912474472112,-4.025468499811023,336.1,102.1,43.15119337783659,42.28073771119521,60.412633375266246,0.7752096362764327
13,788,789,9,42,30,1253797,28.430771,572.413771,590.11965,584.48065,14612,14612,187.569022514154,185.097694482306,368.103682815883,357.09762880642,186.33335849822998,362.6006558111515,1.2356640159240158,5.503027004731507,-0.22087904404327197,336.1,102.1,203.2005069258811,-221.35987118225543,300.4840072029787,-0.8281442683160034
14,43,44,0,44,29,1325181,30.049456,31.115456,48.94715,43.30815,1083,1083,334.263889838736,331.024648884044,124.322792285777,294.055072732923,332.64426936139,209.18893250935,1.619620477346018,-84.866140223573,-3.122510556936058,267.0,101.0,67.69666469905746,106.91668160828225,126.54649429163739,1.0063419842689614
