Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time
1,0,1,43,48607,1.1022,2.1712,58.452
2,0,2,30,69882,1.584626,2.653626,58.93445
3,0,3,40,105937,2.4022,3.4712,59.75205
4,0,4,10,134723,3.054943,4.123943,60.4048
5,0,5,44,157936,3.581315,4.650315,60.93115
6,0,6,39,180180,4.085714,5.154714,61.43555
7,0,7,39,218901,4.963741,6.032741,62.3136
8,0,8,9,246233,5.583515,6.652515,62.93335
9,0,9,22,264115,5.989002,7.058002,63.33885
10,0,10,21,288540,6.542857,7.611857,63.8927
11,0,11,7,318780,7.228571,8.297571,64.5784
12,0,12,8,343932,7.798912,8.867912,65.14875
13,0,13,10,370779,8.407687,9.476687,65.75755
14,0,14,10,403442,9.148345,10.217345,66.4982
15,0,15,39,431986,9.795601,10.864601,67.14545
16,0,16,21,469011,10.63517,11.70417,67.985
17,0,17,39,487378,11.051655,12.120655,68.4015
18,0,18,9,506472,11.484626,12.553626,68.8345
19,0,19,10,525323,11.912086,12.981086,69.26195
20,0,20,7,559198,12.680227,13.749227,70.0301
21,0,21,8,593799,13.46483,14.53383,70.8147
22,0,22,7,620405,14.068141,15.137141,71.418
23,0,23,30,650402,14.748345,15.817345,72.0982
24,0,24,29,680885,15.439569,16.508569,72.78945
25,0,25,22,704340,15.971429,17.040429,73.3213
26,0,26,43,734095,16.646145,17.715145,73.996
27,0,27,39,766032,17.37034,18.43934,74.7202
28,0,28,9,804995,18.253855,19.322855,75.6037
29,0,29,39,837900,19,20.069,76.3499
30,0,30,44,866202,19.641769,20.710769,76.99165
31,0,31,43,899834,20.404399,21.473399,77.7543
32,0,32,29,937343,21.254943,22.323943,78.6048
33,0,33,8,957891,21.720884,22.789884,79.07075
34,0,34,43,978196,22.181315,23.250315,79.5312
35,0,35,40,1008921,22.878027,23.947027,80.2279
36,0,36,21,1044734,23.690113,24.759113,81.04
37,0,37,29,1070855,24.282426,25.351426,81.6323
38,0,38,29,1088495,24.682426,25.751426,82.0323
39,0,39,40,1124792,25.505488,26.574488,82.8554
40,0,40,7,1146794,26.004399,27.073399,83.3543
41,0,41,9,1168311,26.492313,27.561313,83.8422
42,0,42,8,1202428,27.265941,28.334941,84.61585
43,0,43,30,1230487,27.9022,28.9712,85.2521
44,0,44,21,1260000,28.571429,29.640429,85.9213
45,0,45,43,1285394,29.147256,30.216256,86.49715
46,0,46,22,1318784,29.904399,30.973399,87.2543
47,0,47,29,1343451,30.463741,31.532741,87.81365
48,0,48,43,1367633,31.012086,32.081086,88.362
49,0,49,40,1385758,31.423084,32.492084,88.773
50,0,50,22,1405821,31.878027,32.947027,89.22795
51,0,51,21,1437272,32.591202,33.660202,89.9411
52,0,52,7,1458062,33.06263,34.13163,90.41255
53,0,53,40,1477883,33.512086,34.581086,90.862
54,0,54,40,1509092,34.219773,35.288773,91.5697
55,0,55,30,1534002,34.784626,35.853626,92.13455
56,0,56,22,1570542,35.613197,36.682197,92.9631
57,0,57,44,1605385,36.403288,37.472288,93.7532
58,0,58,29,1624722,36.841769,37.910769,94.1917
59,0,59,8,1659081,37.620884,38.689884,94.9708
60,0,60,7,1683021,38.163741,39.232741,95.51365
61,0,61,10,1702599,38.607687,39.676687,95.9576
62,0,62,39,1739866,39.452744,40.521744,96.8027
63,0,63,43,1762837,39.973628,41.042628,97.32355
64,0,64,44,1789200,40.571429,41.640429,97.92135
