Chan,MeanRate
A11,"[43.18181818 26.13636364 30.68181818 29.54545455 31.81818182 30.68181818
 23.86363636 30.68181818 27.27272727 29.54545455 29.54545455 20.45454545
 29.54545455 31.81818182 28.40909091 26.13636364 34.09090909 32.95454545
 39.77272727 40.90909091 36.36363636 29.54545455 29.54545455 45.45454545
 30.68181818 34.09090909 14.77272727 35.22727273 27.27272727 30.68181818
 37.5        27.27272727 28.40909091 34.09090909 37.5        22.72727273
 35.22727273 37.5        27.27272727 29.54545455 27.27272727 26.13636364
 32.95454545 36.36363636 35.22727273 37.5        37.5        31.81818182
 32.95454545 22.72727273]"
A25,"[11.36363636 10.22727273  6.81818182  6.81818182 11.36363636 11.36363636
  7.95454545  7.95454545 10.22727273 20.45454545 17.04545455 10.22727273
 15.90909091  9.09090909 18.18181818 23.86363636 15.90909091 18.18181818
 15.90909091  9.09090909 12.5        14.77272727 12.5        23.86363636
 15.90909091 13.63636364  3.40909091 13.63636364 10.22727273 10.22727273
 13.63636364  9.09090909  6.81818182 19.31818182 10.22727273  5.68181818
  9.09090909 20.45454545 13.63636364  7.95454545 11.36363636 11.36363636
  6.81818182  6.81818182  7.95454545 14.77272727  5.68181818 10.22727273
 10.22727273  5.68181818]"
A13,"[47.72727273 43.18181818 44.31818182 40.90909091 55.68181818 55.68181818
 35.22727273 35.22727273 45.45454545 43.18181818 44.31818182 32.95454545
 42.04545455 37.5        44.31818182 45.45454545 30.68181818 52.27272727
 46.59090909 61.36363636 52.27272727 38.63636364 44.31818182 57.95454545
 40.90909091 42.04545455 40.90909091 37.5        47.72727273 37.5
 50.         45.45454545 40.90909091 47.72727273 44.31818182 52.27272727
 56.81818182 42.04545455 39.77272727 38.63636364 39.77272727 25.
 50.         37.5        35.22727273 36.36363636 35.22727273 29.54545455
 32.95454545 47.72727273]"
A28,"[10.22727273  5.68181818  5.68181818  6.81818182  9.09090909 10.22727273
  9.09090909  9.09090909 12.5        14.77272727  7.95454545  5.68181818
 17.04545455 10.22727273 15.90909091 19.31818182 13.63636364  5.68181818
 18.18181818 12.5        12.5        15.90909091  6.81818182 14.77272727
  5.68181818 11.36363636  6.81818182 12.5        11.36363636 10.22727273
  7.95454545 14.77272727  6.81818182  4.54545455  7.95454545  0.
  5.68181818  9.09090909  4.54545455 11.36363636 11.36363636  9.09090909
 10.22727273 22.72727273 18.18181818  7.95454545 12.5        10.22727273
 13.63636364 13.63636364]"
A04,"[18.18181818 13.63636364 21.59090909 15.90909091 29.54545455 12.5
 14.77272727 12.5        11.36363636 18.18181818 12.5        18.18181818
 15.90909091 17.04545455 18.18181818 27.27272727 15.90909091 19.31818182
 21.59090909 20.45454545 25.         22.72727273 11.36363636 26.13636364
 22.72727273 13.63636364 10.22727273 13.63636364 18.18181818 22.72727273
 14.77272727 20.45454545 17.04545455 13.63636364 27.27272727  9.09090909
 15.90909091 12.5        11.36363636 10.22727273 11.36363636 15.90909091
 15.90909091 11.36363636 19.31818182 17.04545455 11.36363636 17.04545455
 21.59090909 14.77272727]"
A14,"[ 4.54545455  4.54545455  9.09090909  3.40909091  6.81818182  4.54545455
 10.22727273  4.54545455  3.40909091  7.95454545  7.95454545  4.54545455
 13.63636364 12.5        13.63636364 11.36363636  9.09090909  7.95454545
 12.5        11.36363636 15.90909091 15.90909091  2.27272727 19.31818182
  6.81818182  2.27272727  3.40909091  6.81818182 10.22727273 10.22727273
  4.54545455 18.18181818  4.54545455 11.36363636  6.81818182  9.09090909
 10.22727273  6.81818182  9.09090909  2.27272727  5.68181818  6.81818182
  5.68181818  9.09090909  7.95454545  9.09090909  9.09090909  6.81818182
 12.5         6.81818182]"
A02,"[17.04545455 15.90909091 15.90909091 20.45454545 19.31818182 20.45454545
 18.18181818 25.         20.45454545 17.04545455 15.90909091 27.27272727
 28.40909091 27.27272727 30.68181818 13.63636364 21.59090909 18.18181818
 25.         15.90909091 20.45454545 25.         11.36363636 30.68181818
 22.72727273 14.77272727 17.04545455 11.36363636 15.90909091 19.31818182
 23.86363636 12.5        15.90909091 36.36363636 12.5        20.45454545
 15.90909091 26.13636364 23.86363636 10.22727273 17.04545455 15.90909091
 26.13636364 21.59090909 14.77272727 15.90909091 19.31818182 22.72727273
 20.45454545 20.45454545]"
A17,"[10.22727273 13.63636364 13.63636364 22.72727273 12.5         9.09090909
  1.13636364 13.63636364 12.5        12.5        15.90909091 11.36363636
 17.04545455  5.68181818  9.09090909 12.5        21.59090909 13.63636364
 13.63636364 12.5         9.09090909 11.36363636 11.36363636 18.18181818
 12.5         9.09090909 14.77272727 13.63636364 21.59090909  7.95454545
  7.95454545 11.36363636  6.81818182  7.95454545  7.95454545  9.09090909
  5.68181818 15.90909091 12.5        15.90909091 11.36363636 13.63636364
  5.68181818 12.5         9.09090909 10.22727273 18.18181818  6.81818182
 12.5        12.5       ]"
A27,"[ 9.09090909  4.54545455 10.22727273  5.68181818 12.5         3.40909091
  5.68181818  5.68181818  9.09090909 15.90909091  9.09090909  2.27272727
 14.77272727  5.68181818 12.5        19.31818182  9.09090909  5.68181818
 25.         15.90909091 12.5        21.59090909 14.77272727 15.90909091
 13.63636364  6.81818182  0.          4.54545455 14.77272727  9.09090909
  3.40909091  5.68181818  3.40909091  7.95454545  6.81818182  4.54545455
  9.09090909  7.95454545  6.81818182  5.68181818  9.09090909  5.68181818
  3.40909091 10.22727273 10.22727273  9.09090909 14.77272727 10.22727273
  7.95454545  4.54545455]"
A23,"[11.36363636  9.09090909  6.81818182  4.54545455  9.09090909  9.09090909
 10.22727273  2.27272727  4.54545455 15.90909091 15.90909091  7.95454545
 29.54545455 13.63636364 12.5        12.5        10.22727273 10.22727273
 34.09090909 15.90909091 13.63636364 10.22727273  4.54545455 30.68181818
 23.86363636  3.40909091  4.54545455  2.27272727 15.90909091 15.90909091
  7.95454545  9.09090909 15.90909091  9.09090909  6.81818182  7.95454545
 13.63636364 13.63636364 13.63636364 12.5         7.95454545 12.5
  6.81818182 13.63636364 10.22727273 11.36363636 20.45454545 14.77272727
 12.5         9.09090909]"
