Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A11,B30,B19,B16,A25,A13,B06,A28,A04,B21,B26,B11,A14,A02,A17,B29,B17,B01,A27,B32,A23,A24,A03,B13,B15,B10,B07,B08,A21,B02,A09,A16,A12,A18,A07,B03,A15,A26,B28,B04,B12,A19,B20,B22,A30,B05,B27,A01,B23,B25,A06,A29,A10,A08,A05,B18,A32,A31,B14,B09,A22,B31,A20,B24
0,0,1,0,1,10,49092,1.113197,2.149197,13.86385,8.14985,204,204,320.5,226.486589629817,240.5,71.4488936816294,273.4932948149085,155.9744468408147,47.00670518509151,84.5255531591853,-0.5075329256588237,344.2,223.5,28.974910258068235,93.37876130642502,97.77084681839166,1.269922055851271,1,1,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
1,23,24,0,24,10,702208,15.923084,16.959084,28.85955,23.14555,579,579,368.25631831559,373.653328471291,144.321024277522,136.219580332451,370.9548233934405,140.2703023049865,-2.698505077850484,4.050721972535513,0.5876647693797836,344.2,223.5,23.87776038154409,84.10027177351503,87.4242709618875,1.2941561973484532,2,0,0,0,1,2,1,3,2,0,0,4,1,3,2,0,4,1,0,0,7,2,0,0,0,1,1,1,3,0,1,0,1,1,1,0,3,2,0,0,0,0,0,0,3,1,0,5,0,0,1,3,0,0,0,0,14,0,0,0,0,0,0,0
2,26,27,0,27,10,798501,18.106599,19.142599,31.04305,25.32905,633,633,319.018774599397,315.380108183004,175.392183054888,166.978219318319,317.1994413912005,171.18520118660348,1.8193332081964968,4.206981868284515,-0.408168689491623,344.2,223.5,4.017175343173718,58.73440765288749,58.871625933664944,1.5025070740976831,6,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0
3,30,31,0,31,10,915826,20.767029,21.803029,33.7035,27.9895,700,700,233.621100088352,224.322783082659,383.750489500753,381.457055498991,228.97194158550548,382.603772499872,4.649158502846518,1.14671700088104,-1.3289726646910598,344.2,223.5,182.06838999931264,73.7740959464999,196.44723431411597,0.384981008223072,0,0,0,0,0,1,2,0,0,0,0,9,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,4,1,4,0,1,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
4,41,42,0,42,10,1205820,27.342857,28.378857,40.27935,34.56535,864,864,428.520580698535,428.583038212494,437.93560674718,446.675328467603,428.5518094555145,442.3054676073915,-0.0312287569794875,-4.369860860211531,3.1344463790590886,344.2,223.5,82.78602494193662,219.4026765735134,234.5017279537801,1.2099892191379755,2,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
5,42,43,0,43,10,1239452,28.105488,29.141488,41.042,35.328,883,883,426.223941110988,426.622690778102,450.398207330113,460.091088195142,426.423315944545,455.2446477626275,-0.1993748335570444,-4.846440432514498,3.1004774312924583,344.2,223.5,72.62827964162564,234.9284751745488,245.8988724080303,1.2709657698262695,0,0,0,0,1,3,2,1,0,0,0,8,0,2,2,0,1,1,1,0,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,2,0,0,0,0,0,0,6,0,2,0,1,0,0,3,1,0,0,4,0,1,3,0,0,0,0,0,1
6,55,56,0,56,10,1627484,36.904399,37.940399,49.9338,44.2198,1105,1105,419.264560648157,424.341531984507,325.933344173842,335.534791636998,421.803046316332,330.73406790542003,-2.538485668175042,-4.800723731578046,2.655193688713197,344.2,223.5,18.476704549168304,131.0724589916652,132.36834257902836,1.4307534975957346,1,1,0,1,1,0,0,1,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7,88,89,1,6,10,193507,4.387914,66.832914,78.53235,72.81835,1820,1820,320.5,345.516211342768,240.5,32.2399306532089,333.008105671384,136.36996532660444,-12.508105671383989,104.13003467339556,0.1195472767832446,344.2,223.5,21.50338034755849,85.17338829985721,87.84589598182728,1.323498120055581,1,0,0,0,2,2,3,3,2,0,0,4,6,5,2,0,0,1,2,0,4,3,4,0,1,0,1,1,4,0,3,2,4,2,3,1,2,5,1,0,0,2,0,1,5,0,0,4,0,0,6,4,2,2,3,0,7,6,0,0,4,0,4,0
8,92,93,1,10,10,294113,6.669229,69.114229,80.81365,75.09965,1877,1877,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,344.2,223.5,17.000000000000004,23.699999999999985,29.166590476090956,0.9485540176231186,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
9,122,123,1,40,10,1142675,25.910998,88.355998,100.05545,94.34145,2359,2359,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,344.2,223.5,17.000000000000004,23.699999999999985,29.166590476090956,0.9485540176231186,0,0,0,0,0,1,0,1,2,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
