frame,blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,frame_T,spike_1_Chan1,spike_1_Chan2,spike_1_Chan3,spike_1_Chan4,spike_1_Chan5,spike_1_Chan6,spike_1_Chan7,spike_1_Chan8,spike_1_Chan9,spike_1_Chan10,spike_1_Chan11,spike_1_Chan12,spike_1_Chan13,spike_1_Chan14,spike_1_Chan15,spike_1_Chan16,spike_1_Chan17,spike_1_Chan18,spike_1_Chan19,spike_1_Chan20,spike_1_Chan21,spike_1_Chan22,spike_1_Chan23,spike_1_Chan24,spike_1_Chan25,spike_1_Chan26,spike_1_Chan27,spike_1_Chan28,spike_1_Chan29,spike_1_Chan30,spike_1_Chan31,spike_1_Chan32,spike_2_Chan1,spike_2_Chan2,spike_2_Chan3,spike_2_Chan4,spike_2_Chan5,spike_2_Chan6,spike_2_Chan7,spike_2_Chan8,spike_2_Chan9,spike_2_Chan10,spike_2_Chan11,spike_2_Chan12,spike_2_Chan13,spike_2_Chan14,spike_2_Chan15,spike_2_Chan16,spike_2_Chan17,spike_2_Chan18,spike_2_Chan19,spike_2_Chan20,spike_2_Chan21,spike_2_Chan22,spike_2_Chan23,spike_2_Chan24,spike_2_Chan25,spike_2_Chan26,spike_2_Chan27,spike_2_Chan28,spike_2_Chan29,spike_2_Chan30,spike_2_Chan31,spike_2_Chan32
642,16,284.514564893471,280.354028598593,0.149427627587138,0.0761151527255787,1.98010209152062,3.00161699277606,NaN,270.026987402364,0.586628939228636,0.151609471136875,6.96953661049257,24.0329462503906,28,NaN,275.190508000479,NaN,5.16352059811447,NaN,37.1849116319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,20,284.815030191316,279.584527872909,0.148159944198073,0.0752842992743222,1.79166357263727,2.61712229331473,NaN,274.536859507635,0.585228759519609,0.131461041544715,4.74989027657544,19.8237557938603,31,NaN,277.060693690272,NaN,2.52383418263702,NaN,37.2249116319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,15,284.266606649668,278.287854511739,0.0841478407708357,0.0538057956581672,2.02806472923269,2.33995162939667,NaN,155.811272553929,0.654552027864561,0.146714470572818,4.83499317530731,13.5505291803333,27,NaN,217.049563532834,NaN,61.238290978905,NaN,37.2649116319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
663,30,284.986570368161,278.611977839221,0.202295309049187,0.14088188457476,1.93887977071655,2.11742560759336,NaN,271.340396553981,0.170899118500168,0.081268374899965,11.551563772625,24.5919654184391,14,NaN,274.976187196601,NaN,3.63579064262001,NaN,38.0249116319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
664,30,284.798455363451,278.759095805928,0.230657314098127,0.128694116938476,1.98661525479128,2.5596674884872,NaN,277.838304221142,0.0778436850861605,0.135760615337154,153.844400135516,2.61543189293153,17,NaN,278.298700013535,NaN,0.460395792393001,NaN,38.0649116319444,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
665,30,284.938114876757,278.490096114696,0.171699285689282,0.127884980390753,1.98797246611769,2.09209918484346,NaN,281.17630899291,0.321995821308304,0.146996414852898,5.18361709371061,8.34299842558924,13,NaN,279.833202553803,NaN,-1.34310643910698,NaN,38.1049116319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,24,284.512402692676,280.137773730888,0.182111073294585,0.0900450720894645,1.90536773862597,3.15199938061236,NaN,255.4705914164,0.0694948051916938,0.0497826487345741,50.2206647080477,56.6270970701155,32,NaN,267.804182573644,NaN,12.333591157244,NaN,38.7049116319444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
681,22,284.816058091538,279.623922598919,0.191243111400798,0.0927151566951068,1.89693912806937,3.04184758902125,NaN,252.259325910343,0.0491312012121183,0.0456388262778106,65.8408384402121,51.9372099616899,20,NaN,265.941624254631,NaN,13.682298344288,NaN,38.7449116319444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,26,284.597740464655,279.595317297807,0.206121447063379,0.100240184836211,1.94062547971902,3.04661503837153,NaN,257.001061676392,0.0458469839575181,0.0512107666910178,106.496790713119,35.8805857046439,18,NaN,268.2981894871,NaN,11.2971278107075,NaN,38.7849116319444,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,33,284.713493524934,279.016805175005,0.253600367748399,0.13307384657064,1.962697683963,2.77393192108876,NaN,290.107887316649,0.471270361395232,0.124143414784561,10.8110418257743,40.03075481526,20,NaN,284.562346245827,NaN,-5.54554107082203,NaN,39.2649116319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
