matlab_chan,Grid_x,Grid_y,Grid_x_cm,Grid_y_cm,Motu_Device,Motu_Channel,Amp,Zone,Channel,2021_05_31_PixLoc_Corrected_x,2021_05_31_PixLoc_Corrected_y
1,3,3,12.5,12.5,1,1,3,1,1,,
2,8,8,37.5,37.5,1,2,3,1,2,,
3,13,3,62.5,12.5,1,3,3,2,1,,
4,13,8,62.5,37.5,1,4,3,2,2,,
5,13,17,62.5,82.5,1,5,3,3,1,,
6,13,26,62.5,127.5,1,6,3,3,2,,
7,27,10,132.5,47.5,1,7,3,4,1,345.8,339
8,27,17,132.5,82.5,1,8,3,4,2,344.6,277.3
9,27,33,132.5,162.5,1,9,3,5,1,339.6,160.2
10,27,26,132.5,127.5,1,10,3,5,2,344.2,223.5
11,50,17,247.5,82.5,1,11,3,6,1,,
12,50,26,247.5,127.5,1,12,3,6,2,,
13,13,40,62.5,197.5,1,13,3,7,1,,
14,13,35,62.5,172.5,1,14,3,7,2,,
15,3,40,12.5,197.5,1,15,3,8,1,,
16,8,35,37.5,172.5,1,16,3,8,2,,
17,50,40,247.5,197.5,1,21,2,7,1,,
18,50,35,247.5,172.5,1,22,2,7,2,,
19,60,40,297.5,197.5,1,19,2,6,1,,
20,55,35,272.5,172.5,1,20,2,6,2,,
21,36,33,177.5,162.5,1,17,2,5,1,268.5,160.5
22,36,26,177.5,127.5,1,18,2,5,2,269,226.5
23,60,28,297.5,137.5,1,23,2,8,1,,
24,55,28,272.5,137.5,1,24,2,8,2,,
25,45,35,222.5,172.5,2,1,1,5,1,,
26,45,28,222.5,137.5,2,2,1,5,2,,
27,18,35,87.5,172.5,2,3,1,6,1,,
28,18,28,87.5,137.5,2,4,1,6,2,,
29,36,40,177.5,197.5,2,5,1,7,1,267,101
30,27,40,132.5,197.5,2,6,1,7,2,336.1,102.1
31,3,28,12.5,137.5,2,7,1,8,1,,
32,8,28,37.5,137.5,2,8,1,8,2,,
33,3,15,12.5,72.5,2,9,2,1,1,,
34,8,15,37.5,72.5,2,10,2,1,2,,
35,50,3,247.5,12.5,2,11,2,2,1,,
36,50,8,247.5,37.5,2,12,2,2,2,,
37,60,15,297.5,72.5,2,13,2,3,1,,
38,55,15,272.5,72.5,2,14,2,3,2,,
39,36,10,177.5,47.5,2,15,2,4,1,272.7,338.6
40,36,17,177.5,82.5,2,16,2,4,2,270.8,282.1
41,60,3,297.5,12.5,2,17,1,1,1,,
42,55,8,272.5,37.5,2,18,1,1,2,,
43,36,3,177.5,12.5,2,19,1,2,1,274.7,399.1
44,27,3,132.5,12.5,2,20,1,2,2,349,395.7
45,18,8,87.5,37.5,2,21,1,3,1,,
46,18,15,87.5,72.5,2,22,1,3,2,,
47,45,8,222.5,37.5,2,23,1,4,1,,
48,45,15,222.5,72.5,2,24,1,4,2,,
